"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"weekly_effect[7,7]",0.734920810079482,0.00448324295186801,0.557528744655934,-0.345160899697984,0.369658066954024,0.724977399995099,1.09292078035186,1.84765005062279,15465.0019060487,1.00019931717368
"weekly_effect[7,8]",-0.0810871783653676,0.00397342230061942,0.466727507148713,-1.02080100749021,-0.377599808816411,-0.077710658309493,0.222115909762771,0.834061043244147,13797.4028501654,1.00011689439854
"weekly_effect[7,9]",0.403934057340627,0.0040690588882951,0.532355933873107,-0.659110928387813,0.0584348063662024,0.403643350273312,0.748952341425398,1.46068048437436,17116.5506016296,1.00007317079723
"weekly_effect[7,10]",0.730213753527479,0.00232367320264159,0.360683915957451,0.0314905304772125,0.490830031455887,0.728641342042005,0.966365815913214,1.44984916326186,24093.6974869704,1.00017611568034
"weekly_effect[7,11]",0.343068920104693,0.00422395620074425,0.47561280061896,-0.614647387054203,0.0422466242311113,0.341735510799624,0.644897916647969,1.28995396022076,12678.5111491837,1.00017672507313
"weekly_effect[8,1]",0.586958233787254,0.00363590862617681,0.499191144454137,-0.370921717625036,0.254380976518545,0.579500983120989,0.908267556178266,1.60737557242418,18849.8467614274,1.0000344839184
"weekly_effect[8,2]",0.136576478188562,0.00429961315832367,0.462778803813938,-0.722471013442633,-0.177130937679607,0.116632629142795,0.428646556713041,1.10068496194621,11584.7896294766,1.00066896939117
"weekly_effect[8,3]",0.345011046915422,0.00393750835023897,0.480795325816518,-0.611811023994022,0.0372207657125407,0.347904710724487,0.65326226300624,1.30106251536384,14909.9950131957,1.00019789011223
"weekly_effect[8,4]",0.856385670278638,0.00464875503959204,0.48666390935559,-0.119433142228245,0.543637405269681,0.857237863528909,1.17088703796923,1.802804112596,10959.3540306819,1.00045732161457
"weekly_effect[8,5]",0.172316497723512,0.00394343542415045,0.480696122869365,-0.784109120272115,-0.133997068043615,0.175421449636276,0.482839613720417,1.12039025851746,14859.0748951117,1.00009404796411
"weekly_effect[8,6]",-0.385460731042793,0.00392347044561482,0.47459999413129,-1.31325738107467,-0.693143564174327,-0.391990551519766,-0.0839480138629694,0.569190325966625,14632.3703904178,0.999943309413887
"weekly_effect[8,7]",1.10546553554417,0.00481638747977678,0.602503253792241,-0.0478028065407814,0.702676859663733,1.08720706961376,1.48925986262122,2.34394753317949,15648.6167988454,1.00031295049596
"weekly_effect[8,8]",0.558564961458184,0.00445520354952585,0.512085317497632,-0.460708017749524,0.226213769102242,0.558897663344644,0.889766122427673,1.57323131934938,13211.4214230215,1.00026130217673
"weekly_effect[8,9]",0.702775485307994,0.00426271930758281,0.566694684505485,-0.390236555864808,0.327578754963788,0.687250791135125,1.06972263005211,1.84049367010104,17673.5912268287,1.0001421117527
"weekly_effect[8,10]",1.26318819707381,0.00267774379843491,0.405939662391758,0.48927076940624,0.993708419002428,1.25344847460756,1.52140183486502,2.0939581020876,22981.8469473448,1.00007109595434
"weekly_effect[8,11]",0.631684295830403,0.00414285365950709,0.50233541586113,-0.365410886657193,0.310016725080187,0.635444375695448,0.954907283290684,1.62398395051623,14702.4059739762,1.00012506304664
"weekly_effect[9,1]",0.293379374489168,0.00361932437553258,0.485584219153463,-0.618390548209758,-0.03088619618058,0.27492598027565,0.599460344607092,1.31463691362167,18000.0666479214,1.00001391613072
"weekly_effect[9,2]",0.499252839925034,0.00463100558735244,0.496164615992502,-0.425814209026347,0.167441184099227,0.477777945019239,0.812419615799805,1.53241199216844,11478.9184007307,1.00026643584997
"weekly_effect[9,3]",0.691544851617371,0.00413043357652572,0.50471621630171,-0.298583339467471,0.360495823948849,0.68707927354687,1.01970388747287,1.69713997833263,14931.4929094241,1.00026411337271
"weekly_effect[9,4]",0.599408153231217,0.00464692582004499,0.522250326798418,-0.455634270693422,0.269300274769411,0.604322105295094,0.938966311719116,1.6150006859746,12630.6575732341,1.00013794243521
"weekly_effect[9,5]",0.513460952541269,0.00412310237615177,0.508241273539247,-0.497423544011117,0.183193391363009,0.510491065128071,0.844587415219957,1.51334522833741,15194.6823107078,0.999976841860535
